3,0,B
12,17461007505502467,B
12,10000000000000000,B
0,0,B
36,0,B
40,0,B
9,36100000000000000,B
7,21820000000000000,B
0,0,B
48,0,B
3,401000000000000000,B
9,14535430850575426,B
35,10000000000000000,B
11,3958909590000000000,B
0,0,B
9,1168000000000000000,B
0,0,B
0,0,B
37,0,B
0,0,B
6,42644181348179078,B
24,0,B
5,385000000000000000,B
13,0,B
11,3865045750000000000,B
4,550000000000000000,B
0,0,B
28,0,B
0,0,B
0,0,B
4,0,B
11,16070431061382178,B
9,30000000000000000,B
4,262499474701377000,B
0,0,B
6,200329926000000000,B
2,0,B
0,0,B
6,186170418412130982,B
0,0,B
5,0,B
15,0,B
40,0,B
0,0,B
8,132000000000000000,B
8,0,B
29,0,B
32,0,B
6,0,B
21,0,B
6,142267157282053344,B
9,4678030000000000,B
8,205444377454526996,B
36,0,B
6,0,B
4,21400000000000000,B
3,50000000000000000,B
0,0,B
6,27355003835612540,B
31,100000000000000,B
48,0,B
0,0,B
0,0,B
0,0,B
20,0,B
31,1000000000000000000,B
0,0,B
19,160000000000000000,B
6,1000000000000000000,B
0,0,B
9,36100000000000000,B
5,0,B
41,0,B
0,0,B
0,0,B
0,0,B
0,0,B
0,0,B
29,0,B
0,0,B
12,235000000000000000,B
20,103000000000000000,B
0,0,B
5,3999999998100000,B
3,255000000000000000,B
11,232316923923258000,B
2,95606720000000000,B
47,0,B
0,0,B
0,0,B
0,0,B
25,11000000000000000,B
15,0,B
45,0,B
10,0,B
7,0,B
0,0,B
26,0,B
41,0,B
0,0,B
43,0,B
0,0,B
18,0,B
6,188549853000000000,B
3,1145342231347914000,B
15,200000000000000000,B
0,0,B
8,248809000000000000,B
12,179964115735890664,B
4,219526000000000000,B
39,0,B
23,10000000000000,B
4,200000000000000000,B
0,0,B
0,0,B
0,0,B
6,40000000000000000,B
0,0,B
0,0,B
5,133000000000000000,B
0,0,B
15,24873391826249045,B
27,1500000000000000000,B
5,0,B
10,35000000000000000,B
19,0,B
